var1(t-12);var1(t-11);var1(t-10);var1(t-9);var1(t-8);var1(t-7);var1(t-6);var1(t-5);var1(t-4);var1(t-3);var1(t-2);var1(t-1);var1(t)
6.0;0.0;36.0;66.0;30.0;30.0;0.0;0.0;2686.0;0.0;18.0;105.0;72.0
0.0;36.0;66.0;30.0;30.0;0.0;0.0;2686.0;0.0;18.0;105.0;72.0;36.0
36.0;66.0;30.0;30.0;0.0;0.0;2686.0;0.0;18.0;105.0;72.0;36.0;33.0
66.0;30.0;30.0;0.0;0.0;2686.0;0.0;18.0;105.0;72.0;36.0;33.0;117.0
30.0;30.0;0.0;0.0;2686.0;0.0;18.0;105.0;72.0;36.0;33.0;117.0;248.0
30.0;0.0;0.0;2686.0;0.0;18.0;105.0;72.0;36.0;33.0;117.0;248.0;24.0
0.0;0.0;2686.0;0.0;18.0;105.0;72.0;36.0;33.0;117.0;248.0;24.0;0.0
0.0;2686.0;0.0;18.0;105.0;72.0;36.0;33.0;117.0;248.0;24.0;0.0;0.0
2686.0;0.0;18.0;105.0;72.0;36.0;33.0;117.0;248.0;24.0;0.0;0.0;0.0
0.0;18.0;105.0;72.0;36.0;33.0;117.0;248.0;24.0;0.0;0.0;0.0;0.0
18.0;105.0;72.0;36.0;33.0;117.0;248.0;24.0;0.0;0.0;0.0;0.0;2804.0
105.0;72.0;36.0;33.0;117.0;248.0;24.0;0.0;0.0;0.0;0.0;2804.0;760.0
72.0;36.0;33.0;117.0;248.0;24.0;0.0;0.0;0.0;0.0;2804.0;760.0;62.0
36.0;33.0;117.0;248.0;24.0;0.0;0.0;0.0;0.0;2804.0;760.0;62.0;0.0
33.0;117.0;248.0;24.0;0.0;0.0;0.0;0.0;2804.0;760.0;62.0;0.0;0.0
117.0;248.0;24.0;0.0;0.0;0.0;0.0;2804.0;760.0;62.0;0.0;0.0;0.0
248.0;24.0;0.0;0.0;0.0;0.0;2804.0;760.0;62.0;0.0;0.0;0.0;0.0
24.0;0.0;0.0;0.0;0.0;2804.0;760.0;62.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;2804.0;760.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;2804.0;760.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;1796.0
0.0;0.0;2804.0;760.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;1796.0;1237.0
0.0;2804.0;760.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;1796.0;1237.0;2765.0
2804.0;760.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;1796.0;1237.0;2765.0;150.0
760.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;1796.0;1237.0;2765.0;150.0;12.0
62.0;0.0;0.0;0.0;0.0;0.0;0.0;1796.0;1237.0;2765.0;150.0;12.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;1796.0;1237.0;2765.0;150.0;12.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1796.0;1237.0;2765.0;150.0;12.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;1796.0;1237.0;2765.0;150.0;12.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;1796.0;1237.0;2765.0;150.0;12.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1796.0;1237.0;2765.0;150.0;12.0;0.0;0.0;0.0;0.0;0.0;18.0
0.0;1796.0;1237.0;2765.0;150.0;12.0;0.0;0.0;0.0;0.0;0.0;18.0;1092.0
1796.0;1237.0;2765.0;150.0;12.0;0.0;0.0;0.0;0.0;0.0;18.0;1092.0;1043.0
1237.0;2765.0;150.0;12.0;0.0;0.0;0.0;0.0;0.0;18.0;1092.0;1043.0;535.0
2765.0;150.0;12.0;0.0;0.0;0.0;0.0;0.0;18.0;1092.0;1043.0;535.0;755.0
150.0;12.0;0.0;0.0;0.0;0.0;0.0;18.0;1092.0;1043.0;535.0;755.0;803.0
12.0;0.0;0.0;0.0;0.0;0.0;18.0;1092.0;1043.0;535.0;755.0;803.0;404.0
0.0;0.0;0.0;0.0;0.0;18.0;1092.0;1043.0;535.0;755.0;803.0;404.0;571.0
0.0;0.0;0.0;0.0;18.0;1092.0;1043.0;535.0;755.0;803.0;404.0;571.0;540.0
0.0;0.0;0.0;18.0;1092.0;1043.0;535.0;755.0;803.0;404.0;571.0;540.0;630.0
0.0;0.0;18.0;1092.0;1043.0;535.0;755.0;803.0;404.0;571.0;540.0;630.0;492.0
0.0;18.0;1092.0;1043.0;535.0;755.0;803.0;404.0;571.0;540.0;630.0;492.0;779.0
18.0;1092.0;1043.0;535.0;755.0;803.0;404.0;571.0;540.0;630.0;492.0;779.0;487.0
1092.0;1043.0;535.0;755.0;803.0;404.0;571.0;540.0;630.0;492.0;779.0;487.0;1229.0
1043.0;535.0;755.0;803.0;404.0;571.0;540.0;630.0;492.0;779.0;487.0;1229.0;407.0
